Comment,Designator,Footprint,LCSC,Quantity
1k,R17,R_0402_1005Metric,C11702,1
W25Q128JVS,U2,SOIC-8_5.23x5.23mm_P1.27mm,C131025,1
27R,"R2,R3",R_0402_1005Metric,C138021,2
22p,"C14,C15",C_0402_1005Metric,C1555,2
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
300,"R11,R5,R7,R9",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17887,4
10u,C4,C_0603_1608Metric,C19702,1
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040,1
1k,R12,R_0603_1608Metric,C21190,1
5.1k,R1,R_0603_1608Metric,C23186,1
5.1k,"R13,R14,R15,R16",R_0402_1005Metric,C25905,4
100n,"C11,C12,C13,C16,C2,C3,C7,C8,C9",C_0402_1005Metric,C307331,9
1u,"C1,C10,C5,C6",C_0402_1005Metric,C52923,4
XC6206PxxxMR,U3,SOT-23-3,C5446,1
500mA,F1,Fuse_1206_3216Metric,C70076,1
D_Small,"D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D20,D21,D22,D23,D24,D5,D6,D7,D8,D9",D_SOD-123-ShiftedSoldermask,C81598,20
SRV05-4,U4,SOT-23-6-routable,C85364,1
Crystal_GND24,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002,1
